,order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status,first_name,last_name,email,phone_number
0,1,378,7,63,952.43,3286.64,5/4/2020,11 Johnson Crossing,PayPal,Shipped,Catlaina,Spinella,cspinellaah@stanford.edu,975-805-1968
1,2,234,4,27,897.89,6868.91,4/21/2022,04 Lerdahl Crossing,Credit Card,Shipped,Daryl,Abelwhite,dabelwhite6h@theatlantic.com,868-507-1072
2,3,454,89,71,537.07,4035.68,8/29/2020,74701 Declaration Street,Credit Card,Pending,Hanna,Sanper,hsanpercl@irs.gov,161-853-4214
3,4,401,60,18,399.4,1055.6,11/4/2022,9 Morning Point,Cash,Pending,Shelia,Englefield,senglefieldb4@psu.edu,132-947-6804
4,5,256,20,12,227.29,4651.24,12/21/2021,690 Karstens Terrace,Credit Card,Delivered,Janeva,Jantel,jjantel73@mapquest.com,587-101-7600
5,6,410,82,70,183.71,5383.45,2/9/2022,393 Texas Trail,PayPal,Delivered,Clio,Cassey,ccasseybd@princeton.edu,562-931-7566
6,7,36,81,30,677.13,2629.2,3/20/2022,06055 Oriole Road,PayPal,Shipped,Loren,Bray,lbrayz@nationalgeographic.com,127-919-1441
7,8,228,8,92,93.16,6990.2,5/6/2022,091 Schmedeman Lane,Cash,Delivered,Monique,Gerhardt,mgerhardt6b@bandcamp.com,470-723-1503
8,9,371,38,24,715.39,9551.04,12/21/2021,2 Golf Course Hill,PayPal,Delivered,Mischa,Shafto,mshaftoaa@google.de,213-805-9450
9,10,127,33,96,986.35,3314.52,12/15/2022,3527 Sutteridge Street,Credit Card,Shipped,Quintana,Valder,qvalder3i@samsung.com,712-723-4513
10,11,213,2,31,422.69,7393.49,5/24/2022,60 American Drive,Cash,Shipped,Babbie,Frenchum,bfrenchum5w@lycos.com,195-441-5340
11,12,200,33,31,623.34,8527.77,9/12/2020,432 Shopko Road,Cash,Pending,Costanza,Burnsides,cburnsides5j@live.com,234-589-1994
12,13,43,10,71,93.37,8163.88,8/6/2021,9 Dryden Trail,Credit Card,Shipped,Betsy,Proschek,bproschek16@amazonaws.com,728-454-0849
13,14,500,73,75,882.41,2857.47,2/15/2022,07402 Vermont Road,PayPal,Shipped,Karine,Freddi,kfreddidv@deliciousdays.com,688-871-4928
14,15,56,70,20,232.51,6719.7,9/21/2021,009 Quincy Terrace,Credit Card,Delivered,Franny,Descroix,fdescroix1j@wsj.com,833-703-2395
15,16,185,48,10,248.19,8159.57,7/27/2022,2 Briar Crest Pass,PayPal,Shipped,Carolus,Connew,cconnew54@webmd.com,871-537-7160
16,17,336,45,35,433.25,4995.65,8/1/2022,4 Moose Alley,PayPal,Pending,Carrissa,Clerke,cclerke9b@ucoz.com,128-817-8600
17,18,422,71,21,76.69,9721.25,9/10/2020,5 7th Lane,Cash,Shipped,Kahlil,Ollive,kollivebp@vk.com,616-339-2186
